x_mm y_mm
0.000000 0.000000
1.498630 -3.769444
2.997260 -6.067004
4.495891 -7.309639
5.994521 -8.379187
7.493151 -9.293176
8.991781 -10.005697
10.490411 -10.718245
11.989041 -11.416039
13.487672 -11.977642
14.986302 -12.435405
16.484932 -12.893185
17.983562 -13.351022
19.482192 -13.808863
20.980822 -14.159128
22.479453 -14.437427
23.978083 -14.704214
25.476713 -14.971013
26.975343 -15.237816
28.473973 -15.504618
29.972604 -15.707140
31.471234 -15.841334
32.969864 -15.955403
34.468494 -16.069475
35.967124 -16.183548
37.465754 -16.297620
38.964385 -16.411693
40.463015 -16.484584
41.961645 -16.499508
43.460275 -16.494649
44.958905 -16.489791
46.457536 -16.484933
47.956166 -16.480075
49.454796 -16.475217
50.953426 -16.470361
52.452056 -16.431643
53.950686 -16.346555
55.449317 -16.259422
56.947947 -16.172289
58.446577 -16.085155
59.945207 -15.998022
61.443837 -15.910889
62.942467 -15.823760
64.441098 -15.722776
65.939728 -15.594680
67.438358 -15.458376
68.936988 -15.322072
70.435618 -15.185768
71.934249 -15.049464
73.432879 -14.913159
74.931509 -14.776855
76.430139 -14.640559
77.928769 -14.490063
79.427399 -14.315009
80.926030 -14.139654
82.424660 -13.964299
83.923290 -13.788944
85.421920 -13.613589
86.920550 -13.438233
88.419181 -13.262878
89.917811 -13.087526
91.416441 -12.903377
92.915071 -12.700885
94.413701 -12.492259
95.912331 -12.283633
97.410962 -12.075007
98.909592 -11.866381
100.408222 -11.657755
101.906852 -11.449129
103.405482 -11.240503
104.904112 -11.031883
106.402743 -10.811801
107.901373 -10.574829
109.400003 -10.337567
110.898633 -10.100304
112.397263 -9.863041
113.895894 -9.625778
115.394524 -9.388515
116.893154 -9.151252
118.391784 -8.913989
119.890414 -8.676732
121.389044 -8.429166
122.887675 -8.168673
124.386305 -7.907261
125.884935 -7.645850
127.383565 -7.384439
128.882195 -7.123028
130.380825 -6.861617
131.879456 -6.600206
133.378086 -6.338795
134.876716 -6.077386
136.375346 -5.808743
137.873976 -5.529726
139.372607 -5.247319
140.871237 -4.964912
142.369867 -4.682506
143.868497 -4.400099
145.367127 -4.117692
146.865757 -3.835285
148.364388 -3.552879
149.863018 -3.270472
151.361648 -2.985248
152.860278 -2.690251
154.358908 -2.390377
155.857539 -2.090502
157.356169 -1.790627
158.854799 -1.490752
160.353429 -1.190877
161.852059 -0.891002
163.350689 -0.591127
164.849320 -0.291252
166.347950 0.008619
167.846580 0.318150
169.345210 0.632835
170.843840 0.948021
172.342470 1.263207
173.841101 1.578393
175.339731 1.893579
176.838361 2.208766
178.336991 2.523952
179.835621 2.839138
181.334252 3.154324
182.832882 3.476224
184.331512 3.803937
185.830142 4.132517
187.328772 4.461096
188.827402 4.789675
190.326033 5.118254
191.824663 5.446834
193.323293 5.775413
194.821923 6.103992
196.320553 6.432571
197.819184 6.767344
199.317814 7.107271
200.816444 7.447442
202.315074 7.787612
203.813704 8.127782
205.312334 8.467953
206.810965 8.808123
208.309595 9.148293
209.808225 9.488464
211.306855 9.829178
212.805485 10.178122
214.304115 10.528309
215.802746 10.878496
217.301376 11.228683
218.800006 11.578870
220.298636 11.929057
221.797266 12.279244
223.295897 12.629431
224.794527 12.980696
226.293157 13.337605
227.791787 13.697642
229.290417 14.057679
230.789047 14.417716
232.287678 14.777753
233.786308 15.137790
235.284938 15.497827
236.783568 15.857864
238.282198 16.220264
239.780829 16.588365
241.279459 16.957109
242.778089 17.325853
244.276719 17.694597
245.775349 18.063341
247.273979 18.432085
248.772610 18.800829
250.271240 19.172389
251.769870 19.548495
253.268500 19.925447
254.767130 20.302399
256.265760 20.679351
257.764391 21.056304
259.263021 21.433256
260.761651 21.812087
262.260281 22.194783
263.758911 22.579324
265.257542 22.963865
266.756172 23.348406
268.254802 23.732947
269.753432 24.117487
271.252062 24.506358
272.750692 24.898056
274.249323 25.289921
275.747953 25.681786
277.246583 26.073651
278.745213 26.466685
280.243843 26.863272
281.742473 27.261010
283.241104 27.658749
284.739734 28.056487
286.238364 28.456728
287.736994 28.859588
289.235624 29.262909
290.734255 29.666229
292.232885 30.072576
293.731515 30.479985
295.230145 30.887883
296.728775 31.298101
298.227405 31.708081
