x_mm y_mm
0.000000 0.000000
1.504890 -4.133005
3.009780 -6.052387
4.514670 -7.249030
6.019561 -8.310643
7.524451 -9.152077
9.029341 -9.892778
10.534231 -10.638557
12.039121 -11.306937
13.544011 -11.853441
15.048901 -12.349410
16.553791 -12.847318
18.058682 -13.346840
19.563572 -13.792870
21.068462 -14.142739
22.573352 -14.455393
24.078242 -14.768975
25.583132 -15.082898
27.088022 -15.396822
28.592912 -15.678998
30.097803 -15.881788
31.602693 -16.048180
33.107583 -16.214881
34.612473 -16.381582
36.117363 -16.548283
37.622253 -16.714983
39.127143 -16.861396
40.632034 -16.942802
42.136924 -16.996164
43.641814 -17.049525
45.146704 -17.102887
46.651594 -17.156248
48.156484 -17.209610
49.661374 -17.263037
51.166264 -17.300121
52.671155 -17.279167
54.176045 -17.255585
55.680935 -17.232003
57.185825 -17.208420
58.690715 -17.184838
60.195605 -17.161256
61.700495 -17.137784
63.205386 -17.108133
64.710276 -17.050193
66.215166 -16.982207
67.720056 -16.914221
69.224946 -16.846235
70.729836 -16.778249
72.234726 -16.710263
73.739616 -16.642277
75.244507 -16.574499
76.749397 -16.500597
78.254287 -16.398113
79.759177 -16.295268
81.264067 -16.192423
82.768957 -16.089577
84.273847 -15.986732
85.778737 -15.883887
87.283628 -15.781041
88.788518 -15.678277
90.293408 -15.571659
91.798298 -15.446593
93.303188 -15.314120
94.808078 -15.181647
96.312968 -15.049173
97.817859 -14.916700
99.322749 -14.784227
100.827639 -14.651754
102.332529 -14.519281
103.837419 -14.386971
105.342309 -14.249648
106.847199 -14.092086
108.352089 -13.934161
109.856980 -13.776236
111.361870 -13.618311
112.866760 -13.460386
114.371650 -13.302462
115.876540 -13.144537
117.381430 -12.986612
118.886320 -12.828823
120.391211 -12.666492
121.896101 -12.488381
123.400991 -12.309057
124.905881 -12.129732
126.410771 -11.950407
127.915661 -11.771083
129.420551 -11.591758
130.925441 -11.412434
132.430332 -11.233109
133.935222 -11.053828
135.440112 -10.871342
136.945002 -10.678333
138.449892 -10.480411
139.954782 -10.282489
141.459672 -10.084568
142.964562 -9.886646
144.469453 -9.688724
145.974343 -9.490802
147.479233 -9.292880
148.984123 -9.094959
150.489013 -8.895870
151.993903 -8.690481
153.498793 -8.477127
155.003684 -8.263774
156.508574 -8.050420
158.013464 -7.837067
159.518354 -7.623713
161.023244 -7.410360
162.528134 -7.197006
164.033024 -6.983653
165.537914 -6.770389
167.042805 -6.552789
168.547695 -6.326961
170.052585 -6.100061
171.557475 -5.873162
173.062365 -5.646263
174.567255 -5.419364
176.072145 -5.192465
177.577035 -4.965565
179.081926 -4.738666
180.586816 -4.511769
182.091706 -4.281939
183.596596 -4.046024
185.101486 -3.807322
186.606376 -3.568620
188.111266 -3.329918
189.616157 -3.091216
191.121047 -2.852514
192.625937 -2.613812
194.130827 -2.375110
195.635717 -2.136408
197.140607 -1.894999
198.645497 -1.648423
200.150387 -1.399478
201.655278 -1.150533
203.160168 -0.901588
204.665058 -0.652643
206.169948 -0.403698
207.674838 -0.154754
209.179728 0.094191
210.684618 0.343081
212.189509 0.596062
213.694399 0.853227
215.199289 1.110958
216.704179 1.368689
218.209069 1.626420
219.713959 1.884151
221.218849 2.141882
222.723739 2.399613
224.228630 2.657344
225.733520 2.918162
227.238410 3.183201
228.743300 3.449642
230.248190 3.716082
231.753080 3.982522
233.257970 4.248963
234.762860 4.515403
236.267751 4.781843
237.772641 5.048243
239.277531 5.319119
240.782421 5.592893
242.287311 5.866959
243.792201 6.141025
245.297091 6.415091
246.801982 6.689158
248.306872 6.963224
249.811762 7.237286
251.316652 7.515545
252.821542 7.796471
254.326432 8.077780
255.831322 8.359089
257.336212 8.640398
258.841103 8.921707
260.345993 9.203016
261.850883 9.486685
263.355773 9.773834
264.860663 10.061784
266.365553 10.349735
267.870443 10.637685
269.375334 10.925635
270.880224 11.213568
272.385114 11.506450
273.890004 11.800777
275.394894 12.095180
276.899784 12.389583
278.404674 12.683985
279.909564 12.979602
281.414455 13.278659
282.919345 13.578211
284.424235 13.877762
285.929125 14.177314
287.434015 14.479346
288.938905 14.783610
290.443795 15.088072
291.948685 15.392534
293.453576 15.699855
294.958466 16.007928
296.463356 16.316411
297.968246 16.626997
299.473136 16.937258
