case_id,source,alpha_deg,t_over_c,CL,CD,target,converged,status,note
15,EI,7.011801,0.1048,,,,,pending,
16,EI,4.599316,0.125162,,,,,pending,
17,EI,4.599254,0.118706,,,,,pending,
