x_mm y_mm
0.000000 0.000000
1.501780 -3.646978
3.003560 -5.550687
4.505341 -6.640638
6.007121 -7.597116
7.508901 -8.380038
9.010681 -9.028662
10.512461 -9.682730
12.014242 -10.293888
13.516022 -10.784087
15.017802 -11.205677
16.519582 -11.629472
18.021362 -12.056795
19.523143 -12.461031
21.024923 -12.760800
22.526703 -13.009453
24.028483 -13.259783
25.530263 -13.510864
27.032044 -13.761944
28.533824 -14.007609
30.035604 -14.166931
31.537384 -14.276353
33.039164 -14.386456
34.540945 -14.496560
36.042725 -14.606664
37.544505 -14.716768
39.046285 -14.826871
40.548065 -14.867371
42.049846 -14.870400
43.551626 -14.871619
45.053406 -14.872837
46.555186 -14.874056
48.056966 -14.875274
49.558747 -14.876493
51.060527 -14.878111
52.562307 -14.816285
54.064087 -14.744246
55.565867 -14.671859
57.067647 -14.599471
58.569428 -14.527084
60.071208 -14.454696
61.572988 -14.382309
63.074768 -14.310648
64.576548 -14.212711
66.078329 -14.100213
67.580109 -13.986103
69.081889 -13.871994
70.583669 -13.757885
72.085449 -13.643775
73.587230 -13.529666
75.089010 -13.415557
76.590790 -13.302868
78.092570 -13.161311
79.594350 -13.014655
81.096131 -12.867937
82.597911 -12.721220
84.099691 -12.574503
85.601471 -12.427785
87.103251 -12.281068
88.605032 -12.134350
90.106812 -11.988184
91.608592 -11.825300
93.110372 -11.652008
94.612152 -11.477544
96.113933 -11.303080
97.615713 -11.128617
99.117493 -10.954153
100.619273 -10.779689
102.121053 -10.605226
103.622834 -10.430762
105.124614 -10.257355
106.626394 -10.062131
108.128174 -9.863853
109.629954 -9.665529
111.131735 -9.467205
112.633515 -9.268880
114.135295 -9.070556
115.637075 -8.872232
117.138855 -8.673907
118.640636 -8.475583
120.142416 -8.278079
121.644196 -8.062609
123.145976 -7.844323
124.647756 -7.625936
126.149537 -7.407549
127.651317 -7.189162
129.153097 -6.970775
130.654877 -6.752388
132.156657 -6.534001
133.658438 -6.315614
135.160218 -6.097466
136.661998 -5.868512
138.163778 -5.632762
139.665558 -5.396915
141.167339 -5.161068
142.669119 -4.925220
144.170899 -4.689373
145.672679 -4.453526
147.174459 -4.217679
148.676240 -3.981831
150.178020 -3.745862
151.679800 -3.506358
153.181580 -3.256028
154.683360 -3.005697
156.185141 -2.755367
157.686921 -2.505036
159.188701 -2.254706
160.690481 -2.004375
162.192261 -1.754044
163.694042 -1.503714
165.195822 -1.253424
166.697602 -1.002188
168.199382 -0.740590
169.701162 -0.477518
171.202942 -0.214445
172.704723 0.048627
174.206503 0.311700
175.708283 0.574772
177.210063 0.837845
178.711843 1.100917
180.213624 1.363988
181.715404 1.628235
183.217184 1.898553
184.718964 2.172710
186.220744 2.446867
187.722525 2.721025
189.224305 2.995182
190.726085 3.269340
192.227865 3.543497
193.729645 3.817655
195.231426 4.091812
196.733206 4.367352
198.234986 4.647913
199.736766 4.931717
201.238546 5.215522
202.740327 5.499327
204.242107 5.783132
205.743887 6.066937
207.245667 6.350741
208.747447 6.634546
210.249228 6.918295
211.751008 7.204477
213.252788 7.495743
214.754568 7.787788
216.256348 8.079833
217.758129 8.371878
219.259909 8.663923
220.761689 8.955967
222.263469 9.248012
223.765249 9.540057
225.267030 9.834181
226.768810 10.132533
228.270590 10.432797
229.772370 10.733062
231.274150 11.033326
232.775931 11.333590
234.277711 11.633854
235.779491 11.934119
237.281271 12.234333
238.783051 12.537832
240.284832 12.844850
241.786612 13.152269
243.288392 13.459689
244.790172 13.767108
246.291952 14.074528
247.793733 14.381947
249.295513 14.689362
250.797293 15.000067
252.299073 15.313794
253.800853 15.628048
255.302634 15.942303
256.804414 16.256558
258.306194 16.570813
259.807974 16.885067
261.309754 17.201235
262.811535 17.520652
264.313315 17.841142
265.815095 18.161633
267.316875 18.482123
268.818655 18.802614
270.320436 19.123080
271.822216 19.447793
273.323996 19.774269
274.825776 20.100849
276.327556 20.427430
277.829337 20.754010
279.331117 21.081642
280.832897 21.412410
282.334677 21.743835
283.836457 22.075261
285.338237 22.406687
286.840018 22.740338
288.341798 23.076133
289.843578 23.412192
291.345358 23.748251
292.847138 24.086916
294.348919 24.426358
295.850699 24.766187
297.352479 25.107965
298.854259 25.449478
