x_mm y_mm
0.000000 0.000000
1.502999 -4.271323
3.005999 -6.567828
4.508998 -7.911518
6.011997 -9.081315
7.514996 -10.043594
9.017996 -10.848618
10.520995 -11.652181
12.023994 -12.400767
13.526994 -13.013580
15.029993 -13.546560
16.532992 -14.078939
18.035991 -14.610275
19.538991 -15.119802
21.041990 -15.511262
22.544989 -15.843327
24.047989 -16.174905
25.550988 -16.506261
27.053987 -16.837616
28.556986 -17.166425
30.059986 -17.397694
31.562985 -17.570754
33.065984 -17.743615
34.568984 -17.916475
36.071983 -18.089334
37.574982 -18.262193
39.077982 -18.435053
40.580981 -18.533384
42.083980 -18.587201
43.586979 -18.637198
45.089979 -18.687194
46.592978 -18.737191
48.095977 -18.787188
49.598977 -18.837184
51.101976 -18.887073
52.604975 -18.867858
54.107974 -18.833326
55.610974 -18.798230
57.113973 -18.763133
58.616972 -18.728037
60.119972 -18.692941
61.622971 -18.657844
63.125970 -18.622553
64.628969 -18.556586
66.131969 -18.472643
67.634968 -18.386170
69.137967 -18.299698
70.640967 -18.213226
72.143966 -18.126753
73.646965 -18.040281
75.149964 -17.953809
76.652964 -17.866958
78.155963 -17.747990
79.658962 -17.620739
81.161962 -17.493392
82.664961 -17.366044
84.167960 -17.238697
85.670959 -17.111350
87.173959 -16.984002
88.676958 -16.856655
90.179957 -16.729161
91.682957 -16.581833
93.185956 -16.421633
94.688955 -16.259510
96.191954 -16.097388
97.694954 -15.935265
99.197953 -15.773143
100.700952 -15.611021
102.203952 -15.448898
103.706951 -15.286776
105.209950 -15.124373
106.712950 -14.937807
108.215949 -14.745875
109.718948 -14.553859
111.221947 -14.361844
112.724947 -14.169828
114.227946 -13.977812
115.730945 -13.785796
117.233945 -13.593780
118.736944 -13.401764
120.239943 -13.209530
121.742942 -12.997139
123.245942 -12.780153
124.748941 -12.562944
126.251940 -12.345734
127.754940 -12.128525
129.257939 -11.911316
130.760938 -11.694106
132.263937 -11.476897
133.766937 -11.259688
135.269936 -11.042414
136.772935 -10.811947
138.275935 -10.573428
139.778934 -10.334343
141.281933 -10.095257
142.784932 -9.856172
144.287932 -9.617087
145.790931 -9.378002
147.293930 -9.138916
148.796930 -8.899831
150.299929 -8.660746
151.802928 -8.416768
153.305927 -8.159677
154.808927 -7.902395
156.311926 -7.645113
157.814925 -7.387831
159.317925 -7.130549
160.820924 -6.873267
162.323923 -6.615984
163.826922 -6.358702
165.329922 -6.101415
166.832921 -5.843244
168.335920 -5.571789
169.838920 -5.298584
171.341919 -5.025379
172.844918 -4.752173
174.347918 -4.478968
175.850917 -4.205763
177.353916 -3.932558
178.856915 -3.659352
180.359915 -3.386147
181.862914 -3.111784
183.365913 -2.829205
184.868913 -2.542063
186.371912 -2.254920
187.874911 -1.967778
189.377910 -1.680635
190.880910 -1.393493
192.383909 -1.106350
193.886908 -0.819208
195.389908 -0.532066
196.892907 -0.243401
198.395906 0.051850
199.898905 0.351031
201.401905 0.650212
202.904904 0.949393
204.407903 1.248574
205.910903 1.547755
207.413902 1.846935
208.916901 2.146116
210.419900 2.445311
211.922900 2.747334
213.425899 3.056013
214.928898 3.365621
216.431898 3.675230
217.934897 3.984838
219.437896 4.294446
220.940895 4.604054
222.443895 4.913662
223.946894 5.223270
225.449893 5.535357
226.952893 5.852827
228.455892 6.172648
229.958891 6.492470
231.461891 6.812292
232.964890 7.132114
234.467889 7.451936
235.970888 7.771758
237.473888 8.091593
238.976887 8.415380
240.479886 8.743779
241.982886 9.072659
243.485885 9.401538
244.988884 9.730418
246.491883 10.059297
247.994883 10.388177
249.497882 10.717058
251.000881 11.049940
252.503881 11.386696
254.006880 11.724084
255.509879 12.061471
257.012878 12.398859
258.515878 12.736247
260.018877 13.073635
261.521876 13.413463
263.024876 13.757336
264.527875 14.102613
266.030874 14.447889
267.533873 14.793165
269.036873 15.138442
270.539872 15.483725
272.042871 15.834184
273.545871 16.186925
275.048870 16.539791
276.551869 16.892656
278.054868 17.245522
279.557868 17.599739
281.060867 17.957821
282.563866 18.316782
284.066866 18.675742
285.569865 19.034703
287.072864 19.396441
288.575863 19.760834
290.078863 20.125578
291.581862 20.490322
293.084861 20.858344
294.587861 21.227354
296.090860 21.596865
297.593859 21.968832
299.096859 22.340483
