x_mm y_mm
0.000000 0.000000
1.504190 -3.914238
3.008380 -5.774307
4.512570 -6.907349
6.016760 -7.912758
7.520950 -8.714193
9.025140 -9.409757
10.529330 -10.112159
12.033520 -10.747138
13.537710 -11.262672
15.041900 -11.724898
16.546090 -12.189760
18.050280 -12.657148
19.554470 -13.078474
21.058660 -13.403607
22.562850 -13.689422
24.067041 -13.976621
25.571231 -14.264355
27.075421 -14.552089
28.579611 -14.814222
30.083801 -14.996954
31.587991 -15.141205
33.092181 -15.285940
34.596371 -15.430675
36.100561 -15.575410
37.604751 -15.720145
39.108941 -15.849847
40.613131 -15.914002
42.117321 -15.948638
43.621511 -15.983274
45.125701 -16.017910
46.629891 -16.052546
48.134081 -16.087182
49.638271 -16.121884
51.142461 -16.145726
52.646651 -16.108785
54.150841 -16.069059
55.655031 -16.029332
57.159221 -15.989605
58.663411 -15.949878
60.167601 -15.910151
61.671791 -15.870531
63.175981 -15.827399
64.680171 -15.756045
66.184361 -15.674048
67.688551 -15.592051
69.192741 -15.510053
70.696932 -15.428056
72.201122 -15.346059
73.705312 -15.264061
75.209502 -15.182261
76.713692 -15.097408
78.217882 -14.982748
79.722072 -14.867705
81.226262 -14.752662
82.730452 -14.637619
84.234642 -14.522576
85.738832 -14.407533
87.243022 -14.292490
88.747212 -14.177525
90.251402 -14.060436
91.755592 -13.925136
93.259782 -13.781998
94.763972 -13.638859
96.268162 -13.495721
97.772352 -13.352583
99.276542 -13.209444
100.780732 -13.066306
102.284922 -12.923168
103.789112 -12.780194
105.293302 -12.634372
106.797492 -12.467475
108.301682 -12.300193
109.805872 -12.132912
111.310062 -11.965630
112.814252 -11.798349
114.318442 -11.631068
115.822632 -11.463786
117.326823 -11.296505
118.831013 -11.129369
120.335203 -10.959358
121.839393 -10.773068
123.343583 -10.585496
124.847773 -10.397923
126.351963 -10.210350
127.856153 -10.022777
129.360343 -9.835205
130.864533 -9.647632
132.368723 -9.460059
133.872913 -9.272535
135.377103 -9.082737
136.881293 -8.882710
138.385483 -8.677490
139.889673 -8.472270
141.393863 -8.267050
142.898053 -8.061831
144.402243 -7.856611
145.906433 -7.651391
147.410623 -7.446171
148.914813 -7.240951
150.419003 -7.034874
151.923193 -6.823349
153.427383 -6.603494
154.931573 -6.383639
156.435763 -6.163784
157.939953 -5.943929
159.444143 -5.724074
160.948333 -5.504219
162.452523 -5.284364
163.956714 -5.064510
165.460904 -4.844765
166.965094 -4.621563
168.469284 -4.389974
169.973474 -4.157253
171.477664 -3.924533
172.981854 -3.691812
174.486044 -3.459092
175.990234 -3.226371
177.494424 -2.993651
178.998614 -2.760930
180.502804 -2.528213
182.006994 -2.293074
183.511184 -2.052103
185.015374 -1.808189
186.519564 -1.564274
188.023754 -1.320360
189.527944 -1.076446
191.032134 -0.832531
192.536324 -0.588617
194.040514 -0.344702
195.544704 -0.100788
197.048894 0.145429
198.553084 0.396587
200.057274 0.650236
201.561464 0.903884
203.065654 1.157533
204.569844 1.411181
206.074034 1.664829
207.578224 1.918478
209.082414 2.172126
210.586605 2.425701
212.090795 2.682860
213.594985 2.944232
215.099175 3.206201
216.603365 3.468170
218.107555 3.730139
219.611745 3.992108
221.115935 4.254077
222.620125 4.516046
224.124315 4.778015
225.628505 5.042727
227.132695 5.311514
228.636885 5.581770
230.141075 5.852026
231.645265 6.122282
233.149455 6.392538
234.653645 6.662794
236.157835 6.933049
237.662025 7.203249
239.166215 7.477502
240.670405 7.754672
242.174595 8.032150
243.678785 8.309628
245.182975 8.587106
246.687165 8.864584
248.191355 9.142062
249.695545 9.419534
251.199735 9.700849
252.703925 9.984812
254.208115 10.269179
255.712305 10.553546
257.216496 10.837914
258.720686 11.122281
260.224876 11.406648
261.729066 11.693173
263.233256 11.983004
264.737446 12.273663
266.241636 12.564322
267.745826 12.854981
269.250016 13.145640
270.754206 13.436274
272.258396 13.731530
273.762586 14.028246
275.266776 14.325041
276.770966 14.621836
278.275156 14.918632
279.779346 15.216552
281.283536 15.517725
282.787726 15.819405
284.291916 16.121086
285.796106 16.422767
287.300296 16.726777
288.804486 17.032922
290.308676 17.339271
291.812866 17.645619
293.317056 17.954660
294.821246 18.264431
296.325436 18.574587
297.829626 18.886731
299.333816 19.198575
