x_mm y_mm
0.000000 0.000000
1.502617 -3.719059
3.005234 -5.603195
4.507850 -6.702411
6.010467 -7.670819
7.513084 -8.456563
9.015701 -9.117457
10.518318 -9.784425
12.020934 -10.400844
13.523551 -10.897050
15.026168 -11.329753
16.528785 -11.764871
18.031401 -12.203256
19.534018 -12.611176
21.036635 -12.917529
22.539252 -13.176717
24.041869 -13.437522
25.544485 -13.699022
27.047102 -13.960522
28.549719 -14.210071
30.052336 -14.375717
31.554953 -14.495293
33.057569 -14.615500
34.560186 -14.735707
36.062803 -14.855913
37.565420 -14.976120
39.068037 -15.093392
40.570653 -15.139851
42.073270 -15.151048
43.575887 -15.162245
45.078504 -15.173443
46.581120 -15.184640
48.083737 -15.195837
49.586354 -15.207035
51.088971 -15.218669
52.591588 -15.160757
54.094204 -15.098392
55.596821 -15.035958
57.099438 -14.973524
58.602055 -14.911091
60.104672 -14.848657
61.607288 -14.786223
63.109905 -14.724588
64.612522 -14.633955
66.115139 -14.530345
67.617756 -14.426195
69.120372 -14.322045
70.622989 -14.217895
72.125606 -14.113746
73.628223 -14.009596
75.130839 -13.905446
76.633456 -13.802861
78.136073 -13.668296
79.638690 -13.531575
81.141307 -13.394832
82.643923 -13.258089
84.146540 -13.121346
85.649157 -12.984603
87.151774 -12.847860
88.654391 -12.711118
90.157007 -12.574981
91.659624 -12.420388
93.162241 -12.256302
94.664858 -12.091832
96.167474 -11.927363
97.670091 -11.762894
99.172708 -11.598425
100.675325 -11.433956
102.177942 -11.269487
103.680558 -11.105018
105.183175 -10.941706
106.685792 -10.754391
108.188409 -10.566092
109.691026 -10.377785
111.193642 -10.189478
112.696259 -10.001171
114.198876 -9.812864
115.701493 -9.624557
117.204110 -9.436250
118.706726 -9.247952
120.209343 -9.060273
121.711960 -8.853467
123.214577 -8.645120
124.717193 -8.436773
126.219810 -8.228427
127.722427 -8.020080
129.225044 -7.811733
130.727661 -7.603386
132.230277 -7.395040
133.732894 -7.186706
135.235511 -6.977957
136.738128 -6.758409
138.240745 -6.532625
139.743361 -6.306841
141.245978 -6.081057
142.748595 -5.855273
144.251212 -5.629490
145.753829 -5.403706
147.256445 -5.177922
148.759062 -4.952138
150.261679 -4.725998
151.764296 -4.495726
153.266912 -4.255480
154.769529 -4.015234
156.272146 -3.774988
157.774763 -3.534742
159.277380 -3.294495
160.779996 -3.054249
162.282613 -2.814003
163.785230 -2.573757
165.287847 -2.333577
166.790464 -2.091642
168.293080 -1.840033
169.795697 -1.587065
171.298314 -1.334097
172.800931 -1.081129
174.303548 -0.828161
175.806164 -0.575193
177.308781 -0.322225
178.811398 -0.069257
180.314015 0.183709
181.816631 0.438247
183.319248 0.698745
184.821865 0.962780
186.324482 1.226814
187.827099 1.490848
189.329715 1.754883
190.832332 2.018917
192.334949 2.282952
193.837566 2.546986
195.340183 2.811021
196.842799 3.076727
198.345416 3.347404
199.848033 3.621069
201.350650 3.894733
202.853267 4.168398
204.355883 4.442063
205.858500 4.715728
207.361117 4.989392
208.863734 5.263057
210.366350 5.536658
211.868967 5.813054
213.371584 6.094226
214.874201 6.376115
216.376818 6.658005
217.879434 6.939895
219.382051 7.221784
220.884668 7.503674
222.387285 7.785563
223.889902 8.067453
225.392518 8.351626
226.895135 8.639958
228.397752 8.930051
229.900369 9.220145
231.402986 9.510238
232.905602 9.800331
234.408219 10.090424
235.910836 10.380517
237.413453 10.670557
238.916069 10.964115
240.418686 11.260979
241.921303 11.558213
243.423920 11.855447
244.926537 12.152682
246.429153 12.449916
247.931770 12.747150
249.434387 13.044379
250.937004 13.345062
252.439621 13.648631
253.942237 13.952686
255.444854 14.256741
256.947471 14.560797
258.450088 14.864852
259.952704 15.168907
261.455321 15.474944
262.957938 15.784233
264.460555 16.094511
265.963172 16.404789
267.465788 16.715067
268.968405 17.025345
270.471022 17.335598
271.973639 17.650201
273.476256 17.966460
274.978872 18.282814
276.481489 18.599169
277.984106 18.915523
279.486723 19.232948
280.989340 19.553531
282.491956 19.874721
283.994573 20.195910
285.497190 20.517100
286.999807 20.840538
288.502423 21.166106
290.005040 21.491919
291.507657 21.817732
293.010274 22.146164
294.512891 22.475356
296.015507 22.804932
297.518124 23.136459
299.020741 23.467711
